CohortMonth,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
2018-04,44.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,32.0,39.0
2018-05,0.0,31.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,6.0,1.0,18.0
2018-06,0.0,0.0,27.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
2018-07,0.0,0.0,0.0,28.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
2018-08,0.0,0.0,0.0,0.0,25.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0
2018-09,0.0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,2.0,2.0,0.0,0.0
2018-10,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,2.0,2.0,0.0,0.0
2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,2.0,2.0,0.0
2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0
2019-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2019-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
