Order Week,Amount,Profit
2018-04-09,259.0,-55.0
2018-04-23,506.0,-211.0
2018-04-30,315.0,-77.0
2018-05-21,934.0,-916.0
2018-07-09,30.0,-35.0
2018-07-30,1359.0,-111.0
2018-09-03,38.0,-6.0
2018-10-08,1619.0,339.0
2018-10-22,902.0,141.0
2018-10-29,94.0,7.0
2018-11-19,282.0,14.0
2018-11-26,1008.0,238.0
2018-12-03,1611.0,194.0
2018-12-17,277.0,3.0
2018-12-24,325.0,-67.0
2018-12-31,1458.0,198.0
2019-01-21,1004.0,162.0
2019-02-18,1824.0,-1303.0
2019-02-25,984.0,126.0
2019-03-11,212.0,97.0
2019-03-25,1745.0,653.0
