Order Week,North India,Amount
2018-03-26,False,5318.0
2018-04-02,False,5412.0
2018-04-09,True,2964.0
2018-04-09,False,2527.0
2018-04-16,False,3044.0
2018-04-23,True,614.0
2018-04-23,False,12771.0
2018-04-30,True,342.0
2018-04-30,False,3623.0
2018-05-07,False,14736.0
2018-05-14,False,3287.0
2018-05-21,True,2999.0
2018-05-21,False,2376.0
2018-05-28,False,4093.0
2018-06-04,False,6383.0
2018-06-11,True,2542.0
2018-06-11,False,2871.0
2018-06-18,True,124.0
2018-06-18,False,5824.0
2018-06-25,False,4205.0
2018-07-02,False,1384.0
2018-07-09,True,874.0
2018-07-09,False,1685.0
2018-07-16,True,417.0
2018-07-16,False,7064.0
2018-07-23,False,351.0
2018-07-30,True,1526.0
2018-07-30,False,816.0
2018-08-06,False,3684.0
2018-08-13,True,1500.0
2018-08-13,False,10516.0
2018-08-20,True,8.0
2018-08-20,False,11104.0
2018-08-27,True,148.0
2018-08-27,False,6001.0
2018-09-03,True,88.0
2018-09-03,False,837.0
2018-09-10,False,9006.0
2018-09-17,True,410.0
2018-09-17,False,3557.0
2018-09-24,True,176.0
2018-09-24,False,8215.0
2018-10-01,True,16.0
2018-10-01,False,9785.0
2018-10-08,True,1619.0
2018-10-08,False,3995.0
2018-10-15,False,4408.0
2018-10-22,True,4523.0
2018-10-22,False,1990.0
2018-10-29,True,1812.0
2018-10-29,False,9093.0
2018-11-05,False,16899.0
2018-11-12,True,607.0
2018-11-12,False,8717.0
2018-11-19,True,6339.0
2018-11-19,False,7017.0
2018-11-26,True,3216.0
2018-11-26,False,2760.0
2018-12-03,True,4481.0
2018-12-03,False,5954.0
2018-12-10,True,4887.0
2018-12-10,False,7136.0
2018-12-17,True,862.0
2018-12-17,False,3877.0
2018-12-24,True,425.0
2018-12-24,False,6662.0
2018-12-31,True,2879.0
2018-12-31,False,5523.0
2019-01-07,False,11887.0
2019-01-14,False,19969.0
2019-01-21,True,6626.0
2019-01-21,False,9014.0
2019-01-28,True,10192.0
2019-01-28,False,3038.0
2019-02-04,True,7347.0
2019-02-04,False,8488.0
2019-02-11,True,585.0
2019-02-11,False,3660.0
2019-02-18,True,3263.0
2019-02-18,False,6313.0
2019-02-25,True,1196.0
2019-02-25,False,1473.0
2019-03-04,False,26550.0
2019-03-11,True,232.0
2019-03-11,False,6942.0
2019-03-18,True,95.0
2019-03-18,False,6610.0
2019-03-25,True,3271.0
2019-03-25,False,13847.0
